cluster,x_rd,y_rd
0,82275.80548245614,449871.03684210527
1,81884.38371040724,449620.8680995475
2,81883.25,449590.25
3,83793.15,448253.75
4,83741.58333333333,448131.5833333333
5,80984.75,447795.25
6,82969.09079023823,447679.1224578733
7,84167.23258706467,447631.5970149254
8,84495.6862850972,447579.77915766736
9,81068.25,447518.25
10,84563.14655172414,447496.8706896552
11,84549.37903225806,447486.4435483871
12,81078.75,447485.25
13,81158.25,447001.65
14,81139.75,447002.25
15,81160.5,446989.0
16,81145.75,446967.5
17,84310.56944444444,446940.34722222225
18,81172.75,446921.25
19,81177.75,446905.75
20,81162.75,446901.25
21,81171.25,446901.25
22,81163.16666666667,446898.1666666667
23,81156.0,446896.0
24,84225.75,446892.25
25,84230.41666666667,446892.0833333333
26,84241.75,446888.75
27,84247.25,446887.25
28,84255.75,446884.75
29,81178.25,446882.75
30,84297.25,446754.25
31,84248.25,446748.25
32,84284.125,446747.875
33,84279.75,446745.25
34,84263.25,446739.25
35,84267.75,446739.25
36,84265.33333333333,446736.5833333333
37,84251.25,446733.75
38,84275.75,446733.75
39,84279.25,446732.0
40,84250.75,446731.75
41,84245.25,446731.25
42,81240.25,446524.5
43,81250.75,446503.25
44,81252.75,446499.75
45,81394.25,446233.75
46,81386.75,446232.5
47,81388.25,446230.25
48,81396.75,446229.25
49,81383.25,446222.75
50,81388.75,446213.25
51,81382.96428571429,446207.1785714286
52,81385.95,446201.55
53,81388.0,446197.75
54,81390.25,446193.25
55,81392.25,446189.75
56,81397.5,446183.25
57,81407.75,446163.75
58,81409.25,446160.75
59,81411.58333333333,446156.5833333333
60,81419.75,446140.25
61,81425.25,446130.25
62,84064.93664343786,445956.9589430894
63,84193.8767255035,445932.56534283777
64,84077.41666666667,445940.25
65,81542.75,445930.25
66,81537.25,445925.75
67,84175.45969033636,445823.26882007474
68,84053.70764909248,445795.8286516854
69,83832.38895417156,445788.76821386605
70,83500.12931034483,445810.8362068966
71,83945.87463803089,445793.4634411197
72,84284.41296296296,445615.1537037037
73,84270.5,445610.0
74,84272.75,445608.75
75,84269.25,445607.75
76,84258.0,445605.0625
77,84256.08333333333,445603.0833333333
78,84244.25,445600.75
79,84242.75,445598.75
80,84230.97222222222,445596.19444444444
81,84045.10714285714,445593.96428571426
82,84229.08333333333,445594.0833333333
83,84217.16176470589,445590.98529411765
84,84034.8125,445590.875
85,84028.10714285714,445589.03571428574
86,83995.98765432098,445578.9058641975
87,84203.33333333333,445587.0
88,84018.0,445586.0
89,84011.39285714286,445584.03571428574
90,83990.17857142857,445577.89285714284
91,83979.89285714286,445574.8214285714
92,84356.74702380953,445403.8869047619
93,84346.65,445399.05
94,84336.875,445395.25
95,84351.75,445395.75
96,84347.75,445393.75
97,84329.08333333333,445392.3333333333
98,84319.0,445388.75
99,84311.3125,445385.6875
100,84301.32142857143,445382.10714285716
101,84293.25,445378.89285714284
102,84283.75,445375.25
103,84275.75,445372.25
104,81867.75,445342.75
105,84434.83613445378,445197.19327731093
106,84422.95,445190.35
107,84421.25,445188.25
108,84409.5,445185.0
109,84397.58333333333,445179.4166666667
110,84383.41666666667,445173.9166666667
111,84382.25,445171.75
112,84370.25,445168.5
113,84369.25,445166.25
114,84357.25,445163.0
